Company,LastName,Lead_Source__c,Sales_Channel__c,Phone,Email,Segment_text__c,Lead_Stage__c,Time_Zone__c,Country__c,Segment__c,Priority__c,Status
Lifecyle test 1,Akshar 1,Cold Pro,Webware Pro,8796420076,8796420076@gamil.com,Residential Property Managers,Open,EST,CANADA,a05I9000000NW1vIAG,3,Open Lead
Lifecyle test 2,Akshar 2,Cold Non-Pro,Inside Sales,8796420077,8796420077@gamil.com,Chiropractic,Open,CST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 3,Akshar 3,Inbound Paid Form Fill,Webware Inbound,8796420078,8796420078@gamil.com,Residential Property Managers,Open,MST,CANADA,a05I9000000NW1vIAG,1,Open Lead
Lifecyle test 4,Akshar 4,Inbound Paid Form Fill,Partner,8796420079,8796420079@gamil.com,Chiropractic,Open,PST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 5,Akshar 5,Cold Pro,Webware Pro,8796420080,8796420080@gamil.com,Residential Property Managers,Open,EST,CANADA,a05I9000000NW1vIAG,3,Open Lead
Lifecyle test 6,Akshar 6,Cold Non-Pro,Inside Sales,8796420081,8796420081@gamil.com,Chiropractic,Open,CST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 7,Akshar 7,Inbound Paid Form Fill,Webware Inbound,8796420082,8796420082@gamil.com,Residential Property Managers,Open,MST,CANADA,a05I9000000NW1vIAG,1,Open Lead
Lifecyle test 8,Akshar 8,Inbound Paid Form Fill,Partner,8796420083,8796420083@gamil.com,Chiropractic,Open,PST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 9,Akshar 9,Cold Pro,Webware Pro,8796420084,8796420084@gamil.com,Residential Property Managers,Open,EST,CANADA,a05I9000000NW1vIAG,3,Open Lead
Lifecyle test 10,Akshar 10,Cold Non-Pro,Inside Sales,8796420085,8796420085@gamil.com,Chiropractic,Open,CST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 11,Akshar 11,Inbound Paid Form Fill,Webware Inbound,8796420086,8796420086@gamil.com,Residential Property Managers,Open,MST,CANADA,a05I9000000NW1vIAG,1,Open Lead
Lifecyle test 12,Akshar 12,Inbound Paid Form Fill,Partner,8796420087,8796420087@gamil.com,Chiropractic,Open,PST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 13,Akshar 13,Cold Pro,Webware Pro,8796420088,8796420088@gamil.com,Residential Property Managers,Open,EST,CANADA,a05I9000000NW1vIAG,3,Open Lead
Lifecyle test 14,Akshar 14,Cold Non-Pro,Inside Sales,8796420089,8796420089@gamil.com,Chiropractic,Open,CST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 15,Akshar 15,Inbound Paid Form Fill,Webware Inbound,8796420090,8796420090@gamil.com,Residential Property Managers,Open,MST,CANADA,a05I9000000NW1vIAG,1,Open Lead
Lifecyle test 16,Akshar 16,Inbound Paid Form Fill,Partner,8796420091,8796420091@gamil.com,Chiropractic,Open,PST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 17,Akshar 17,Cold Pro,Webware Pro,8796420092,8796420092@gamil.com,Residential Property Managers,Open,EST,CANADA,a05I9000000NW1vIAG,3,Open Lead
Lifecyle test 18,Akshar 18,Cold Non-Pro,Inside Sales,8796420093,8796420093@gamil.com,Chiropractic,Open,CST,USA,a055e0000012i6RAAQ,1,Open Lead
Lifecyle test 19,Akshar 19,Inbound Paid Form Fill,Webware Inbound,8796420094,8796420094@gamil.com,Residential Property Managers,Open,MST,CANADA,a05I9000000NW1vIAG,1,Open Lead
Lifecyle test 20,Akshar 20,Inbound Paid Form Fill,Partner,8796420095,8796420095@gamil.com,Chiropractic,Open,PST,USA,a055e0000012i6RAAQ,1,Open Lead
